source,target,population,weight
NE,tmh,1200000,0.06000
NE,ar,42000,0.00210
NE,twq,7900,0.00040
NG,en,110000000,0.53000
NG,pcm,43000000,0.21000
NG,ha,26000000,0.13000
NG,ig,26000000,0.13000
NG,yo,26000000,0.13000
NG,fuv,14000000,0.06700
NG,tiv,3300000,0.01600
NG,efi,2800000,0.01400
NG,ibb,2800000,0.01400
NG,ha_Arab,2000000,0.01000
NG,bin,1400000,0.00710
NG,kaj,430000,0.00210
NG,kcg,190000,0.00093
NG,ar,140000,0.00071
NG,cch,43000,0.00021
NG,amo,18000,0.00009
NU,en,1100,0.70000
NU,niu,1100,0.70000
NF,en,1700,0.96000
KP,ko,22000000,0.88000
MK,mk,1400000,0.67000
MK,sq,530000,0.25000
MK,tr,74000,0.03500
MP,en,50000,0.97000
MP,ch,9400,0.18000
NO,nb,5400000,1.00000
NO,nn,1300000,0.25000
NO,se,16000,0.00290
OM,ar,2800000,0.81000
OM,bal,170000,0.04900
OM,fa,33000,0.00940
PK,ur,200000000,0.95000
PK,pa_Arab,150000000,0.70000
PK,en,100000000,0.50000
PK,lah,83000000,0.40000
PK,ps,31000000,0.15000
PK,sd,25000000,0.12000
PK,skr,19000000,0.09100
PK,bal,7700000,0.03700
PK,brh,2700000,0.01300
PK,hno,2500000,0.01200
PK,fa,1400000,0.00660
PK,bgn,1200000,0.00570
PK,hnd,850000,0.00410
PK,tg_Arab,690000,0.00330
PK,gju,420000,0.00200
PK,bft,370000,0.00180
PK,kvx,330000,0.00160
PK,khw,310000,0.00150
PK,mvy,290000,0.00140
PK,kxp,250000,0.00120
PK,gjk,230000,0.00110
PK,ks,140000,0.00069
PK,btv,39000,0.00019
PW,pau,16000,0.74000
PW,en,1900,0.08700
PA,es,2600000,0.69000
PA,en,530000,0.14000
PA,zh_Hant,6100,0.00160
PG,tpi,5000000,0.71000
PG,en,3500000,0.50000
PG,ho,150000,0.02100
PY,gn,5600000,0.80000
PY,es,220000,0.03200
PY,de,200000,0.02900
PE,es,23000000,0.73000
PE,qu,4700000,0.15000
PE,ay,500000,0.01600
PH,en,68000000,0.64000
PH,fil,64000000,0.60000
PH,es,33000000,0.31000
PH,ceb,25000000,0.24000
PH,ilo,10000000,0.09600
PH,hil,8900000,0.08400
